training_subset,model,accuracy,stat_parity_diff,equal_opp_diff,disparate_impact,equalized_odds_diff
privileged_only,Logistic Regression,0.7566666666666667,-0.08614599686028257,-0.06579084558440207,0.8957739791073125,-0.07399817968443162
privileged_only,Decision Tree,0.6866666666666666,0.0029434850863421236,-0.01605671984151813,1.0042111173498034,0.03207189070580735
privileged_only,Random Forest,0.7666666666666667,-0.030219780219780223,0.021269940569283774,0.9647435897435898,-0.03698407733440573
privileged_only,XGBoost,0.75,-0.013540031397174301,0.013345845063080009,0.9815705128205128,-0.001597754160189313
unprivileged_only,Logistic Regression,0.7366666666666667,-0.05298273155416011,-0.01605671984151813,0.920728126834997,-0.04386795891825279
unprivileged_only,Decision Tree,0.6666666666666666,0.05180533751962324,0.09185694922323007,1.0860495436766624,0.049687873107855635
unprivileged_only,Random Forest,0.76,-0.055926216640502346,-0.03013241580648518,0.9222585924713584,-0.03987823797843054
unprivileged_only,XGBoost,0.7566666666666667,0.03649921507064369,0.04900427484099679,1.059122695486332,0.06435176148064878
combined,Logistic Regression,0.7533333333333333,-0.22135007849293564,-0.15274736732353256,0.7354596622889306,-0.23502030020311965
combined,Decision Tree,0.72,-0.10341444270015698,-0.044937962673339604,0.8541781959048146,-0.11094015928153195
combined,Random Forest,0.78,-0.08222135007849296,-0.022208320300281525,0.9023310023310023,-0.08955027543836133
combined,XGBoost,0.7766666666666666,-0.04297488226059665,-0.015431133354186222,0.9423076923076922,-0.027013812291128175
